"Tag Code","Mark Species Name","Event Type Name","Event Site Name","Event Site Code Value","Event Site Info Name","Event Site Info Code","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:39:13 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 7:40:13 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 8:12:08 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 8:13:14 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 8:14:14 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 9:17:21 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 9:18:21 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 10:20:22 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 10:34:55 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 10:35:55 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 10:36:55 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 10:37:57 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 10:39:07 PM","A1","100","","","1"
"3D9.1C2D4B3EC4","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","9/4/2010 10:40:22 PM","A1","100","","","1"
